temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
730.0,755.0,19.543,20.679,21.417,21.153,0.0
732.0,757.0,19.631,20.658,21.396,21.134,0.0
734.0,754.0,19.543,20.658,21.354,21.116,0.0
736.0,763.0,19.543,20.616,21.354,21.097,0.0
738.0,760.0,19.543,20.616,21.312,21.08,0.0
740.0,762.0,19.543,20.595,21.29,21.063,0.0
742.0,754.0,19.477,20.616,21.269,21.049,0.0
744.0,757.0,19.564,20.595,21.336,21.034,0.0
746.0,755.0,19.543,20.595,21.227,21.021,0.0
748.0,753.0,19.522,20.595,21.315,21.01,0.0
750.0,761.0,19.522,20.553,21.185,20.996,0.0
752.0,764.0,19.522,20.532,21.206,20.981,0.0
754.0,762.0,19.522,20.532,21.206,20.968,0.0
756.0,765.0,19.501,20.511,21.294,20.954,0.0
758.0,763.0,19.413,20.511,21.185,20.942,0.0
760.0,783.0,19.501,20.423,21.164,20.923,0.0
762.0,768.0,19.676,20.472,21.125,20.911,0.0
764.0,766.0,19.445,20.472,21.125,20.899,0.0
766.0,769.0,19.487,20.451,21.125,20.887,0.0
768.0,762.0,19.378,20.472,21.146,20.878,0.0
770.0,765.0,19.424,20.451,21.234,20.868,0.0
772.0,763.0,19.336,20.451,21.213,20.859,0.0
774.0,761.0,19.357,20.451,21.192,20.851,0.0
776.0,765.0,19.424,20.43,21.104,20.842,0.0
778.0,769.0,19.357,20.409,21.104,20.832,0.0
780.0,767.0,19.466,20.409,21.104,20.823,0.0
782.0,742.0,19.378,20.497,21.104,20.822,0.0
784.0,757.0,19.445,20.434,21.129,20.816,0.0
786.0,778.0,19.378,20.346,21.129,20.803,0.0
788.0,766.0,19.333,20.388,21.15,20.795,0.0
790.0,769.0,19.399,20.367,21.129,20.786,0.0
792.0,767.0,19.399,20.367,20.932,20.778,0.0
794.0,771.0,19.378,20.346,21.041,20.769,0.0
796.0,764.0,19.357,20.367,20.932,20.762,0.0
798.0,745.0,19.294,20.434,20.953,20.762,0.0
800.0,755.0,19.298,20.392,21.066,20.758,0.0
802.0,776.0,19.101,20.304,21.087,20.748,0.0
804.0,763.0,19.122,20.346,21.02,20.741,0.0
806.0,767.0,19.168,20.325,21.066,20.734,0.0
808.0,794.0,19.168,20.216,20.999,20.718,0.0
810.0,781.0,19.189,20.258,20.953,20.707,0.0
812.0,762.0,19.189,20.325,20.932,20.703,0.0
814.0,766.0,19.21,20.304,20.978,20.698,0.0
816.0,753.0,19.252,20.35,20.978,20.697,0.0
818.0,785.0,19.231,20.22,21.023,20.685,0.0
820.0,767.0,19.228,20.283,20.978,20.679,0.0
822.0,771.0,19.273,20.262,20.936,20.673,0.0
824.0,798.0,19.186,20.153,20.957,20.657,0.0
826.0,785.0,19.249,20.195,20.89,20.647,0.0
828.0,761.0,19.294,20.283,20.869,20.645,0.0
830.0,748.0,19.319,20.329,20.915,20.648,0.0
832.0,781.0,19.189,20.199,20.872,20.639,0.0
834.0,768.0,19.143,20.241,20.936,20.634,0.0
836.0,772.0,19.231,20.22,20.915,20.628,0.0
838.0,794.0,19.165,20.132,20.894,20.615,0.0
840.0,781.0,19.294,20.174,20.848,20.608,0.0
842.0,763.0,19.294,20.241,20.827,20.606,0.0
844.0,778.0,19.273,20.178,20.872,20.599,1.0
846.0,766.0,19.294,20.22,20.806,20.597,1.0
848.0,753.0,19.294,20.265,20.872,20.598,1.0
850.0,780.0,19.273,20.157,20.897,20.591,1.0
852.0,768.0,19.294,20.199,20.872,20.587,1.0
854.0,772.0,19.294,20.178,20.809,20.582,1.0
856.0,765.0,19.294,20.199,20.809,20.58,1.0
858.0,775.0,19.273,20.157,20.7,20.574,1.0
860.0,769.0,19.273,20.178,20.722,20.57,1.0
862.0,750.0,19.252,20.244,20.788,20.573,1.0
864.0,760.0,19.231,20.202,20.746,20.571,1.0
866.0,771.0,19.231,20.157,20.746,20.566,1.0
868.0,770.0,19.231,20.157,20.788,20.561,1.0
870.0,769.0,19.231,20.157,20.746,20.557,1.0
872.0,773.0,19.231,20.136,20.767,20.552,1.0
874.0,766.0,19.21,20.157,20.679,20.549,1.0
876.0,771.0,19.21,20.136,20.679,20.544,1.0
878.0,752.0,19.21,20.202,20.767,20.545,1.0
880.0,785.0,19.168,20.073,20.725,20.536,1.0
882.0,762.0,19.08,20.157,20.788,20.534,1.0
884.0,778.0,19.147,20.094,20.725,20.527,1.0
886.0,794.0,19.189,20.027,20.767,20.515,1.0
888.0,787.0,19.21,20.048,20.7,20.506,1.0
890.0,791.0,19.21,20.027,20.7,20.496,1.0
892.0,761.0,19.273,20.136,20.7,20.497,1.0
894.0,777.0,19.231,20.073,20.725,20.492,1.0
